id,payor,payee,amount
83331,Donna Goodwin,Erich Gaines,191.5
83332,Carol Edgehill,Maria Kirkpatrick,127.6
83333,George Mirabella,Joseph Flint,105.4
83334,Lewis Cox,Wendy Johns,8.2
83335,Patrick Toupin,Janet Boyd,0.5
83336,Samantha Ball,Patrick Toupin,168.1
83337,Rita Wilson,James Bailey,32.8
83338,Morgan Rowland,William Markley,5.2
83339,Darrel Whitmer,Karen Peterson,2.8
83340,Samantha Reyes,April Broten,0.1
83341,Christopher Strong,Patsy Olson,2.8
83342,Inez Pam,Gerardo Ogren,4.7
83343,Marian Vasmadjides,Virginia Moss,238.6
83344,Craig Mann,Jennifer Sharp,0.2
83345,Christopher Gilliam,Douglas Finnie,2.4
83346,Jennifer Alley,Patrick Gist,0.1
83347,Laurette Iles,Donald Irwin,2.6
83348,Elizabeth Brown,Chas Ochs,42.256
83349,Teresa Evans,Richard Robinson,6.3
83350,Sarah Norton,Eula Blasko,0.1
83351,Raymond Taggart,Edward Ward,15.55
83352,Sherri Derby,Annette Pacheo,0.4
83353,Carol Edgehill,Mary Lampman,0.5
83354,Frederick Pease,Elaine Caple,7.9
83355,Dennis Anderson,Vinnie Walt,4.9
83356,Allen Wyse,Ann Mcbride,2.4
83357,Jennifer Caldon,Joseph Cohen,10.7
83358,Lou Price,Rita Ray,585.3
83359,Lee Morse,Troy Gowen,5.5
83360,David Hunter,Patricia Long,13.1
83361,Tammy Spiess,Jeffrey Parrish,24.7
83362,Bonnie Mathieu,Felipe Lowrance,0.2
83363,Julie Livingston,Amber Rogers,2.1
83364,Betty Tawwater,Anthony King,7.7
83365,Geneva Stevens,Michele Cannon,13.8
83366,Jeffrey Taylor,Dwayne Shafer,4.7
83367,Gracie Johnson,George Kassin,440.5
83368,Sharon Koerner,Curtis Garrison,68.0
83369,Alexander Huff,Amber Hicks,3.0
83370,Raymond Lewis,Donna Fortin,19.4
83371,Raymond Rios,Jennie Whittenberg,1.6
83372,Sarah Clark,Joseph Green,0.1
83373,Janet Boyd,Donald Perkins,2.1
83374,David Miller,Joseph Wood,6.9
83375,Billy West,James Suiter,0.6
83376,Amanda Harr,Frank Mercedes,3.8
83377,Rodrick Moore,Calvin Hough,99.2
83378,Amber Hicks,Ronald Patel,382.9
83379,Julie Livingston,Jerry Upchurch,106.5
83380,Walter Elkins,Janis Moree,1.1
83381,Bernice Davis,Helen Silmon,17.928
83382,Beth Forbes,Patrick Gist,1.5
83383,Delia Collis,Erin Dawkins,3.2
83384,Reginald Eatmon,Vinnie Walt,1.2
83385,Peggy Duffy,Matthew Thomas,1.9
83386,Katherine Hamilton,Aurelio Schmidt,7.6
83387,Steven Cassem,Clarence Albrecht,5.6
83388,Melanie Ellison,Thomas Miller,30.5
83389,Vida Aguilar,Jacquelyn Bowers,0.5
83390,Henry Kunz,Edgar Whitmire,181.3
83391,Beverly Beebe,Bertha Samuelson,1.8
83392,Homer Peters,Stephen Moss,116.7
83393,Richard Ayala,Mary Glickman,3.3
83394,Tina Reinke,Vaughn Maresco,7.1
83395,Carlos Harting,Sally Oneill,4.5
83396,Helen Castrejon,Charles Rousseau,10.8
83397,Alice Shay,Anthony Dube,0.4
83398,Susana Abney,Charles Gary,2.8
83399,James March,Viola Ake,3.2
83400,Ann Howell,Kathleen Carter,57.0
83401,William Strefeler,Beth Forbes,11.2
83402,Claudia Gratz,Billy West,475.7
83403,Jennifer Estes,Jo Patterson,7.6
83404,Lena Patterson,Tressa Conde,418.5
83405,Darren Feliciano,Joan Bailey,1.0
83406,Sarah Sanchez,Wendy Johns,2.7
83407,Brent Rowan,Don Reed,7.1
83408,Katherine Hamilton,Rebecca Johnson,4.9
83409,Cassandra Fuhrman,Joseph Green,9.3
83410,Mario Haman,Edwin Araujo,1.0
83411,Doris Rogers,Arthur Brown,1.0
83412,Julie Livingston,Linda Backey,0.5
83413,John Shotwell,Mary Pepper,3.8
83414,Vi Seawright,Anita Donahue,0.0
83415,Leroy Stovall,Isaac Helmes,12.149
83416,Grace Jones,Patsy Olson,0.3
83417,Bernice Davis,Becky Armstrong,783.4
83418,Sharon Greene,Noreen Robinson,44.5
83419,Charles Robinson,Jose Pao,0.1
83420,Wilbert Cook,Delia Collis,15.6
83421,Brent Rowan,Lewis Cox,0.5
83422,Jana Landers,Terry Abner,0.1
83423,Debra Hulbert,Jeffrey Taylor,3.7
83424,Grace Matuszewski,Sherri Derby,18.196
83425,Chelsea Randolph,Fredric Barnes,6.6
83426,Tanya Duffy,Maurice Hendrie,0.6
83427,Kathy Spalding,Joann Bay,1.5
83428,June Davis,Julius Armes,2.3
83429,Jean Goldfarb,Joan Joyce,2.4
83430,Robert Whetstine,Janice Dumlao,13.7
83431,Mary Thompson,Mary Keister,6.6
83432,Melissa Richards,Joseph Flint,3.5
83433,Jimmy Corcoran,Peggy Dowlin,4.0
83434,Alan Enos,Willis Wilson,772.5
83435,Walter Cathey,Henry Noah,8.4
83436,Michael Harris,Walter Keller,4.0
83437,Debbie Blanchard,Roxanne Bulfer,1.2
83438,Nick Csaszar,Joseph Hedgepeth,192.3
83439,Ronda Pollitt,Michael Harris,0.1
83440,Jennifer Alley,Ian Shiver,91.0
83441,David Lejeune,Shawn Harper,6.9
83442,David Hendrickson,Kevin Jones,1.3
83443,Daniel Yannone,Mary Wilson,16.6
83444,Devon Laster,John Fahey,0.6
83445,Angie Rivera,Joseph Hedgepeth,32.6
83446,Amanda Harr,Anthony Story,63.6
83447,Madeline Green,James Green,34.9
83448,Alice Butler,Tracy Gagnon,53.269000000000005
83449,Michael Peterson,Juan Mckenna,131.6
83450,Lee Morse,David Hunter,2.2
83451,Virginia Earvin,John Herman,4.3
83452,Fernando Woods,David Ryan,5.7
83453,Ronald Herriman,Terri Hernandez,2.0
83454,Helen Gage,Larry Greenblatt,2.5
83455,William Sim,Luis Whalen,3.1
83456,Raymond Lewis,Vaughn Maresco,1.1
83457,Peter Comstock,Robert Long,9.1
83458,Donna Lemelin,Billy Tyler,0.8
83459,Robert Shippee,Jimmy Ramirez,0.1
83460,Carla Basham,Theodore Lewin,2.7
83461,Rebecca Heminger,Becky Armstrong,0.4
83462,Tim Zorn,Billy Tyler,28.7
83463,Luciana Vicars,Jana Landers,2.4
83464,Rita Thornton,Donald Gartin,0.3
83465,Mary Garcia,Homer Peters,8.2
83466,Mary Glickman,Mike Penn,1.8
83467,Jeremy Gomez,Sharon Cole,7.3
83468,Shaun Gonzalez,Stephen Moss,7.7
83469,Edward Moseley,Donna Lemelin,1.8
83470,Janeth Rodriguez,Doris Sampson,7.6
83471,Jimmy Winfrey,Quintin Fields,2.0
83472,Charles Waggoner,Justin Hamilton,0.5
83473,Julius Armes,Alice Shay,0.1
83474,Willie Webster,Marie Simons,6.9
83475,Sarah Miller,Eula Blasko,1.0
83476,Courtney Craig,Robert Garo,6.1
83477,Laura Olson,Grace Matuszewski,27.0
83478,Peter Castillo,David Finder,298.5
83479,Teri Homer,Maxine Perza,444.2
83480,Jackie Guthrie,David Yang,6.9
83481,Maurice Schoenthal,Tammy Clement,9.7
83482,Keneth Banks,Lawanda West,4.6
83483,Barbara Juneau,April Murry,6.9
83484,Teresa Milne,Derek Eaton,1.4
83485,Paula Lagarde,Mary Thompson,252.9
83486,Susana Abney,Tracy Ramirez,6.1
83487,Barbara Martin,Joseph Tillery,0.5
83488,Patrick Toupin,Dale Langan,13.5
83489,Tina Sheridan,Sarah Boucher,54.9
83490,Maria Reny,Jimmy Corcoran,0.1
83491,Shannon Cox,Jason Mumaw,163.3
83492,Tina Reinke,Joshua Sexton,5.1
83493,Sally Oneill,Jill Bogar,10.525
83494,Kathryn Macy,Chelsea Randolph,26.9
83495,Jose Deem,Richard Fontaine,35.476
83496,Dalia Whitaker,Anthony Barajas,20.0
83497,Marguerite Roe,Stephanie Flowers,8.2
83498,Mary Thompson,Vickie Johnson,4.9
83499,Lewis Cox,Kenneth Wiles,57.497
83500,Suzette Marston,Eva Taylor,5.8
83501,Claude Cox,Jerome Whyms,7.3
83502,Thelma Coryell,Mike Jamison,1.9
83503,Pamela Marshall,Teresa Milne,4.2
83504,James Duran,Laura Gonzales,0.5
83505,Christopher Skidmore,Elizabeth Anderson,1.0
83506,Belinda Jones,Jesus Klein,1.9
83507,Rita Thornton,Bertha Mcgrew,3.1
83508,John Herman,Robert Venegas,4.6
83509,Donald Irwin,Michael Plank,0.5
83510,Nick Leiva,Ahmad Stickney,5.9
83511,Anthony Story,Audrey Kuck,14.2
83512,Karl Mccosker,Dixie Wilson,307.2
83513,Sandra Martin,Roger Thomas,19.8
83514,Ethel Stehle,Joann Fowlkes,0.5
83515,Karen Stoker,Jennifer Alley,0.5
83516,Alvin Runk,Eleanor Martinez,157.2
83517,Robert Sporle,Jennifer Alley,17.833000000000002
83518,Kenneth Wiles,Dale Stradley,21.558
83519,Alice Pickup,Shirley Mccombs,3.3
83520,Wendell Sprankle,Robert Goan,284.9
83521,Celeste Lowman,Terry Lizarraga,5.1
83522,Cristobal Harris,Willis Alger,265.1
83523,Virginia Vanlandingham,Edwin Araujo,234.8
83524,Mary Leon,Timothy Yarbrough,4.1
83525,Dale Taylor,Ronald Patel,6.8
83526,Sally Lamb,Petra Ingram,0.8
83527,Jose Butler,Sandra Maas,8.5
83528,Mario Haman,William Mason,8.3
83529,Dolores Roy,Gayle Devine,0.1
83530,Terri Carson,Mary Pepper,27.813
83531,Robert Bull,Melissa Batters,1.3
83532,Forrest Martin,Cory Whitney,6.7
83533,Freddie White,Thomas Marlatt,7.2
83534,Willie Webster,Kathryn Hanlon,8.4
83535,Sarah Miller,Sally Perry,10.0
83536,Stephen Moss,Richelle Willis,0.1
83537,William Smolen,Dwayne Shafer,7.3
83538,Bruce Green,Maria Reny,1.3
83539,Kathryn Hanlon,Michael Moore,930.2
83540,Gertrude Rizo,Christopher Strong,1.9
83541,Jennifer Farrar,Elizabeth Peng,88.767
83542,Frederick Randolph,Samantha Slade,22.906
83543,Royal Lyall,Aldo Boggs,350.2
83544,David Khan,Herman Rodriguez,2.9
83545,Bennie Diaz,Pamela Marshall,126.3
83546,David Martinez,William Markley,42.5
83547,Jose Blais,James Schwab,21.2
83548,June Smith,Carol Edgehill,52.9
83549,Oscar Smith,Dave Burke,7.7
83550,Dwayne Shafer,Delana Adkins,150.0
83551,John Herman,Anita Donahue,8.6
83552,Aaron Young,Maria Kirkpatrick,90.4
83553,Susan Lehnortt,Susana Abney,47.2
83554,Lawanda West,Timothy Peterson,0.2
83555,Sergio Rowland,Sarah Mendoza,221.8
83556,Patricia Pierre,Cherie Taylor,2.0
83557,Mary Leon,Josefina Lucas,16.6
83558,Susan Walker,Barbara Mcmahan,0.2
83559,Sheryl Vo,Kathryn Hanlon,12.943000000000001
83560,Michael Fuller,Harry Sutton,48.6
83561,Dianna Torry,Derek Fisher,5.0
83562,Ronald Wright,Pamela Wilson,0.5
83563,Michael Stickfort,Lisa Rodriguez,802.9
83564,Thomas Melito,Michael Ignacio,7.6
83565,Timothy Peterson,George Grant,221.8
83566,Isaac Helmes,Bonnie Mathieu,7.1
83567,William Zook,Richard Bolling,6.0
83568,Joann Fowlkes,Alisa Harbach,64.768
83569,Gale Fragoso,Susan Cha,2.3
83570,Katherine Hamilton,Erin Evans,3.3
83571,Ronald Patel,Dolores Roy,0.0
83572,Connie Smith,Troy Gowen,44.201
83573,Samantha Reyes,Bertha Mcgrew,6.9
83574,Linda Scruggs,Eric Sake,0.1
83575,Anthony King,Maxine Perza,1.6
83576,Terri Hernandez,George Mirabella,0.2
83577,James Casarez,Vincent Mooney,2.8
83578,Mary Martin,Grace Williams,1.9
83579,Curtis Garrison,Charles Waggoner,219.2
83580,Willie Rappa,Audrey Kuck,0.3
83581,Richard Ayala,Joseph Cohen,64.0
83582,Joseph Hood,Laura Cochran,149.5
83583,June Smith,Timothy Yarbrough,6.7
83584,Wallace Wison,William Rogers,7.6
83585,Jo Patterson,Jose Smith,8.3
83586,Jamie Reinwald,Randy Layne,4.9
83587,Jesus Klein,Reginald Eatmon,327.2
83588,Samantha Reyes,Benny Legere,3.2
83589,Wayne Williams,William Marlowe,31.904000000000003
83590,Rebecca Heminger,Patricia Obrien,1.7
83591,Mike Jamison,Patrick Toupin,6.3
83592,Donna Fortin,Allan Strain,185.9
83593,Nick Csaszar,Edna Martin,0.4
83594,Patsy Beach,Jacquelyn Bowers,8.9
83595,Tim Rivera,Sarah Mendoza,21.567
83596,Jeffrey Parrish,Derek Eaton,0.3
83597,Sandra Maas,Patsy Olson,0.1
83598,Howard Randall,Margaret Matsuda,0.4
83599,Anastasia Proctor,Jerome Whyms,41.5
83600,Darnell Brown,Kathleen Carter,4.4
83601,Lucy Bromley,Jana Landers,2.7
83602,Donna Fortin,Karen Stoker,781.8
83603,Donald Perkins,William Young,5.5
83604,Elizabeth Peng,Lena Patterson,184.3
83605,Mary Huro,David Hunter,1.2
83606,Ralph Ellis,Julius Armes,7.6
83607,Debbie Blanchard,Candace Lee,8.2
83608,Eric Reece,Stacey Mcdonald,3.2
83609,Charles Gary,Raymond Lewis,130.4
83610,Ann Donaldson,Freddie White,0.2
83611,Phyllis Walter,Laura Olson,0.1
83612,Shawn Harper,Sharlene Phelan,2.8
83613,Clarence Albrecht,Jeffrey Taylor,6.6
83614,Allen Lucero,Mike Ferguson,23.5
83615,Elizabeth Morris,Randy Layne,83.9
83616,Royal Lyall,Kathryn Macy,7.0
83617,Calvin Hough,Naomi Lee,782.8
83618,Robert Venegas,Antonio Richardson,11.337
83619,Devon Laster,Mary Thompson,0.1
83620,Roberto Murray,Edward Wang,1.3
83621,Jorge Talbot,William Szymanski,19.3
83622,Gloria Mcgowan,Mary Clark,612.0
83623,Donald Perkins,Christian Parker,0.4
83624,Ryan Schroeder,Mario Haman,26.288
83625,Eric Reece,Dianna Torry,0.5
83626,Vida Aguilar,Marguerite Roe,0.1
83627,Beverly Beebe,Walter Keller,148.6
83628,Clarence Wooten,Helen Terhune,3.6
83629,Robert Madonia,Lou Price,12.9
83630,Sharon Wilson,Teresa Milne,5.6
83631,David Cross,Elizabeth Peng,0.4
83632,Barbara Martin,Alvin Lawrence,9.3
83633,Terry Lizarraga,Linda Scruggs,2.4
83634,Mary Wilson,James Suiter,18.9
83635,Leslie Lai,William Rogers,1.9
83636,Barbara Goetz,Dwayne Blau,0.2
83637,Tanya Duffy,Bernice Galvan,0.7
83638,Christopher Strong,Cristobal Harris,7.2
83639,Eric Chou,Rita Ray,17.5
83640,Tara Hudson,Joseph Lopez,5.4
83641,Peter Route,Shawn Harper,0.1
83642,Rita Thornton,Emily Hermann,5.7
83643,Kurt Vagliardo,Jillian Wright,1.3
83644,Angela Campbell,Quintin Fields,0.1
83645,Royal Manciel,Billy West,8.0
83646,Lawanda West,Jose Patterson,7.0
83647,Dominic Coleman,Lai Gardner,3.5
83648,William Markley,April Murry,11.6
83649,Ronald Wright,Ruth Quezada,0.2
83650,Mary Leon,Jesse Leonard,265.9
83651,Kina Miller,Jaime Becerra,6.0
83652,Ann Donaldson,Michael Moore,100.0
83653,Johnny Atwood,Katherine Hamilton,5.0
83654,Larry Sharp,Shirley Mccombs,0.2
83655,Luciana Vicars,Theodore Thomas,4.1
83656,Susan Argabright,Jimmy Lopez,4.3
83657,Justin Hamilton,Lisa Rodriguez,40.4
83658,Mike Penn,Mary Pepper,1.5
83659,Ron Mckinney,Mary Keister,0.8
83660,Angelique Holman,Sally Perry,1.4
83661,Ralph Ellis,Laura Olson,1.8
83662,Helen Gage,Sarah Rodriguez,0.7
83663,Candace Moreland,Freeman Ahmed,1.6
83664,Nicole Chisum,Michelle Kinch,23.637
83665,Jesus Klein,Mary Pepper,20.2
83666,Gloria Larson,Margaret Matsuda,9.1
83667,Timothy Peterson,Sam Bryant,13.541999999999998
83668,Jose Pao,Cindy Martin,10.8
83669,Michael Wilkinson,Dianna Torry,3.2
83670,Jean Oglesby,Patricia Obrien,8.9
83671,Delana Adkins,Amber Wilson,0.0
83672,Mike Penn,Jason Mumaw,0.9
83673,Adam Samaroo,Barbara Martin,4.4
83674,Justin Hamilton,Naomi Felder,0.3
83675,Emily Seneca,Geneva Stevens,5.9
83676,Tim Zorn,Janet Boyd,5.4
83677,Raymond Lewis,Amber Hicks,4.3
83678,Allen Wyse,Oscar Sheets,2.2
83679,Alex Ponce,Jennifer Sharp,3.9
83680,David Weisner,Johnathan Clark,8.5
83681,Donna Fortin,Irving Bennett,598.3
83682,Elizabeth Morris,Maxine Perza,662.5
83683,Johnny Atwood,Billy Bozell,8.7
83684,Janet Henry,Maurice Schoenthal,3.0
83685,Floyd Olson,David Cobb,1.9
83686,Gayle Devine,Janine Condon,290.3
83687,Lai Gardner,Sheryl Vo,8.7
83688,Eugene Dickerson,Carl Anderson,70.6
83689,David Ryan,Breanna Kitt,14.7
83690,Tim Rodriguez,Margaret Matsuda,0.3
83691,Michelle Smith,Elaine Jines,9.8
83692,Eugene Dickerson,Amanda Levings,0.2
83693,Emmett Greathouse,Cesar Jones,0.4
83694,Elizabeth Mcguffee,Elizabeth Peng,46.6
83695,Anna Austin,Mike Penn,3.1
83696,Willie Rappa,Matthew Bacon,137.1
83697,Martha Hubbard,Randall Lopez,9.3
83698,Reginald Eatmon,Jennifer Sharp,2.2
83699,Donald Irwin,Theodore Lewin,23.1
83700,Anna Austin,Kimberly Stone,8.6
83701,Sheryl Vo,Harold Levan,5.3
83702,Robert Whetstine,Nia Green,0.1
83703,Peggy Duffy,Johnathon Block,0.1
83704,Eric Reece,Christopher Hyatt,73.0
83705,Janet Henry,Jennifer Farrar,80.1
83706,Cassandra Fuhrman,Ronald Jones,2.3
83707,Antonio Harness,Sara Menendez,8.9
83708,Jason Goodrich,Michael Emory,0.1
83709,Derek Herrera,Karen Fullwood,21.1
83710,Kimberly Pino,Marilyn Timlin,0.3
83711,Robert Bull,Morton Gillette,1.7
83712,Richard Linton,Amber Hicks,1.2
83713,Victor Ouellette,Mary Huro,1.1
83714,Michael Patrick,Marilyn Timlin,14.3
83715,Barbara Juneau,Sharon Koerner,9.5
83716,Carolyn Burton,Becky Armstrong,104.8
83717,Vivian Hein,Ahmad Stickney,4.8
83718,Stephanie Flowers,James Lynch,87.3
83719,Amber Rogers,Karen Stoker,9.0
83720,Linda Backey,Angel Lamontagne,0.4
83721,Alicia Maier,Jana Landers,9.5
83722,Theresa Harrell,Mary Lampman,9.0
83723,Amber Rogers,Mike Penn,18.5
83724,Linda Wolfe,Ronald Jones,0.5
83725,Donald Darley,Alvin Lawrence,15.4
83726,Richard Robinson,Janeth Rodriguez,92.649
83727,Debbie Reynolds,Charles Yap,1.2
83728,Katherine Hamilton,Vivian Hein,0.5
83729,William Young,Mark Williams,13.9
83730,Isaac Helmes,Kim Sprague,63.1
83731,Becky Armstrong,David Johnston,0.1
83732,Barry Nagase,Jennifer Mcafee,7.3
83733,Joseph Alfaro,Ronald Patel,3.1
83734,Alfred Doran,Jennifer Martin,0.2
83735,Joseph Alfaro,Courtney Craig,74.491
83736,Eva Taylor,David Shelpman,6.8
83737,Tressa Conde,Jerry Upchurch,6.9
83738,Michelle Kinch,Dominic Coleman,0.2
83739,Rita Conway,Roger Thomas,1.0
83740,Sharon Cleckler,Amy Barkley,7.6
83741,Elizabeth Peng,Richard Ortiz,8.2
83742,Vivian Hein,Susan Tupper,10.9
83743,Florence Wiles,Suzanne Hines,0.1
83744,Michele Cannon,Jerome Tarbutton,100.0
83745,Casandra Queen,Aaron Massman,5.0
83746,Jimmy Corcoran,Alexander Gibson,23.6
83747,Helen Gage,Laura Olson,93.6
83748,Mark Bucher,Jimmy Lopez,210.7
83749,David Weisner,Michael Plank,0.1
83750,Dorthy Kirtner,Ashley Cook,9.8
83751,Mary Thompson,Charles Gary,6.2
83752,Sarah Miller,Juan Bowen,5.9
83753,David Cross,Kurt Vagliardo,0.1
83754,Christine Williams,Cesar Jones,0.6
83755,Robert Garo,James Duran,61.5
83756,Gayle Devine,George Grant,129.5
83757,Cynthia Ray,Richard Ortiz,0.2
83758,Charles Rousseau,Cristobal Harris,57.9
83759,Robert Shippee,Michael Ashley,7.1
83760,Freddie White,Richard Ortiz,0.1
83761,Floyd Olson,Sarah Clark,9.5
83762,Bennie Diaz,Mike Ferguson,0.7
83763,Edythe Wong,Mary Garcia,9.0
83764,Karen Fullwood,David Yang,2.5
83765,Rebecca Johnson,Bernice Davis,0.5
83766,Marguerite Roe,Randall Lopez,3.3
83767,Daniel Bivins,Jane Liriano,0.8
83768,Robert Madonia,Jane Billiot,25.8
83769,Keith Jones,Marshall Canpos,21.7
83770,Thomas Miller,Linda Wolfe,27.6
83771,Richard Robinson,Stephanie Flowers,7.8
83772,Timothy Yarbrough,Michael Peterson,5.8
83773,Michael Ashley,Aaron Young,0.5
83774,Marcus Nolan,Luciana Vicars,5.3
83775,Ruth Quezada,Jose Janelle,5.8
83776,Kendall Hall,Blake Hawkins,210.9
83777,Leslie Lai,Charles Yap,8.3
83778,Larry Greenblatt,Nancy Denton,0.7
83779,Robert Steier,Bennie Diaz,7.6
83780,Emmett Anderson,Reginald Whitrock,272.2
83781,Christian Fannell,Susana Abney,0.1
83782,Kathy Spalding,Mark Williams,5.7
83783,Mary Pepper,David Cobb,31.288
83784,Kevin Jones,Scott Arredondo,0.8
83785,Ashley Cook,Thelma Coryell,7.9
83786,Gale Fragoso,Barbara Aguilar,2.1
83787,Candace Moreland,Jimmy Ramirez,6.5
83788,Jonathan Mccombs,Christopher Strong,7.3
83789,Paul Burke,Betty Tawwater,0.0
83790,Reginald Eatmon,Mike Ferguson,0.2
83791,Gilbert Puryear,Nicole Chisum,78.7
83792,Jose Deem,Rolf Neale,6.1
83793,Reginald Eatmon,Clarence Wooten,3.7
83794,Derek Eaton,David Weisner,3.7
83795,Ronda Pollitt,Margaret Massey,2.0
83796,Debbie Blanchard,Matthew Thomas,7.6
83797,Dorothy Smith,Robert Madonia,4.6
83798,Charles Robinson,Timothy Peterson,5.7
83799,Maria Kirkpatrick,Mario Haman,3.8
83800,Samantha Hawes,George Mirabella,1.2
83801,Darren Feliciano,Sarah Sanchez,1.5
83802,Julie Reinking,Patricia Pierre,3.3
83803,Raymond Taggart,Joseph Tyler,6.0
83804,Ethel Stehle,Thomas Gurry,0.6
83805,Suzette Marston,Pamela Wilson,1.6
83806,Nancy Neubauer,Avis Craft,9.2
83807,Jerry Upchurch,William Carnes,24.846
83808,Joseph Hood,Felipe Lowrance,55.283
83809,Stephen Jordan,Jennifer Alley,103.2
83810,Marilyn Timlin,Eric Chou,146.5
83811,Mary Martin,Jane Billiot,8.7
83812,Sherri Derby,Gabriel Rodney,1.7
83813,Rolf Neale,Alexander Flynn,769.2
83814,Sharon Koerner,Claudia Gratz,0.2
83815,Wanda Mcgary,Clay Mateo,224.1
83816,Rebecca Heminger,Marguerite Roe,17.5
83817,Ernestine Welsh,Jose Butler,8.5
83818,Edward Wang,Willie Rappa,0.5
83819,Stefani Brandenburg,Richard Boudreau,0.3
83820,Elizabeth Anderson,David Shelpman,5.2
83821,Terry Abner,Celeste Lowman,0.1
83822,Daniel Sanders,Margaret Massey,43.671
83823,Louise Kocher,Rebecca Heminger,6.3
83824,Michael Jones,James Finley,22.2
83825,Leslie Hess,Michael Kilman,13.033000000000001
83826,Susan Cha,Connie Smith,0.7
83827,Helen Silmon,Vincent Newport,6.9
83828,Wendell Sprankle,Rodrick Moore,251.8
83829,Ida Kimbrough,Doris Rogers,10.0
83830,Willis Alger,Debra Segura,0.6
83831,Nia Green,Robert Bull,0.4
83832,Larry Minyard,Terry Hill,2.5
83833,Aaron Young,Bernice Galvan,8.3
83834,Terry Abner,Janine Condon,20.2
83835,Janet Henry,Nancy Denton,2.1
83836,Jennifer Sharp,Helen Castrejon,120.1
83837,Marcella Goodrich,David Cobb,5.2
83838,Julia Segura,Norbert Sokoloski,13.7
83839,Theodore Thomas,Jeremiah Kopacz,112.0
83840,Don Reed,Susan Mcgraw,0.1
83841,Steven Hilyer,Peggy Duffy,5.8
83842,Pamela Wilson,Beatrice Carey,15.649000000000001
83843,Ryan Walter,Tina Reinke,31.6
83844,Angela Campbell,Tammy Spiess,2.8
83845,James Simms,Pamela Quist,0.3
83846,Stephen Jordan,James Harris,4.7
83847,Eric Chou,Becky Armstrong,36.6
83848,Eric Sake,Juan Curran,15.2
83849,Amber Hicks,Michael Rutledge,2.3
83850,Benny Legere,William Zook,9.3
83851,Julie Reinking,Stanley Matthews,10.7
83852,Patsy Beach,Kevin Jones,17.7
83853,Devon Laster,Arthur Brown,0.4
83854,Suzanne Hines,Michael Ashley,28.4
83855,Teri Homer,Jennifer Farrar,494.2
83856,Vincent Newport,Lavina Blankenship,7.0
83857,George Mirabella,Glenn Ross,9.4
83858,Michael Peterson,Maria Mitchell,2.3
83859,Anthony King,Karen Fullwood,6.6
83860,Kristin Hodges,William Duarte,5.8
83861,Mary Martin,Darren Feliciano,1.5
83862,Milton Carrillo,Naomi Felder,925.3
83863,Ina Scoby,Donald Ott,0.1
83864,Nicole Stalling,Sharon Wilson,34.4
83865,Donna Stallings,Douglas Davis,8.4
83866,Sherri Derby,Henry Lawler,7.0
83867,Walter Keller,April Murry,2.3
83868,Emily Seneca,Elaine Taylor,33.387
83869,Linda Wolfe,Kent Vincent,6.5
83870,Emilia Price,Cesar Jones,0.6
83871,Cynthia Johnson,Anna Mcfarling,0.1
83872,Lavina Blankenship,Rebecca Sheneman,4.4
83873,Clarence Albrecht,James Duran,0.6
83874,Dianna Torry,Cherie Taylor,8.9
83875,Pamela Wilson,Nancy Denton,28.6
83876,Sandra Maas,Jamie Reinwald,5.1
83877,Ahmad Stickney,Melinda Harr,0.3
83878,Geneva Stevens,Joann Bay,181.7
83879,Kathy Pendergraph,Carlos Fields,2.0
83880,Francisco Nguyen,David Yang,51.541999999999994
83881,Bobby Cole,Royal Lyall,4.8
83882,Lucy Bromley,Ruby Gomez,1.2
83883,Jaime Becerra,Troy Gowen,6.0
83884,Wallace Wison,Anthony Story,7.9
83885,Sally Lamb,Suzanne Hines,0.1
83886,Willie Webster,April Broten,451.5
83887,Kristin Hodges,Betty Tawwater,0.2
83888,Walter Elkins,Mary Thompson,7.1
83889,Melissa Batters,Christopher Gilliam,301.3
83890,Michelle Kinch,Ryan Schroeder,8.9
83891,Barbara Goetz,Thomas Whitney,10.9
83892,Martha Robles,Marie Brown,0.1
83893,Jennifer Sharp,Brent Rowan,0.5
83894,Jo Patterson,Thomas Gurry,9.3
83895,Kevin Nixon,Aldo Boggs,0.1
83896,Sam Bryant,Courtney Craig,3.4
83897,Ricky Jinkens,Richard Ayala,4.9
83898,Doris Rogers,Oscar Sheets,36.9
83899,Jeffrey Mosley,Barbara Mcmahan,8.0
83900,Jesse Leonard,Jane Billiot,4.1
83901,Sarah Norton,April Murry,3.4
83902,Francis Lechleidner,Billy Tyler,0.4
83903,Stephen Faust,Mabel Ray,0.5
83904,Mildred Lo,Rolf Neale,10.0
83905,Gary Rosales,Kristin Hodges,5.0
83906,Susana Abney,Amber Rogers,11.2
83907,Ann Mcbride,Sarah Miller,4.9
83908,Karl Mccosker,Ida Kimbrough,426.4
83909,Edith New,Amy Salvador,1.0
83910,Kenneth Ballance,David Miller,46.695
83911,Vinnie Walt,Terry Abner,563.1
83912,Betty Tawwater,Barbara Mcmahan,5.1
83913,Rita Wilson,Belinda Jones,0.1
83914,Kenneth Ballance,Jeremiah Kopacz,8.4
83915,James Green,Nancy Denton,1.2
83916,Julia Roberts,Mike Peak,2.3
83917,Dwayne Blau,Carol West,9.0
83918,Juan Bowen,Clay Mateo,0.9
83919,Amy Salvador,Ina Scoby,1.5
83920,William Zook,Earle Johnson,8.5
83921,Robert Desouza,Adrian Evans,1.1
